id,mssv,listening,reading,total,mamh,ghichu
192.0,15A008BEXPvAibaEXe8X/UxhAbbOG1sG/TbS5k88, NULL, NULL,19.0, AVSC, NULL
193.0,92F8B64EXPvAibaEXe+YFpGAAgvtefsYfGW2BhK3, NULL, NULL,19.0, AVSC, NULL
194.0,119C7562XPvAibaEXe/rR9uJzGOYEkfPMWFUTNpZ, NULL, NULL,19.0, AVSC, NULL
195.0,8A28E60EXPvAibaEXe9OORQ1xsw6nv5CUStjJAu6, NULL, NULL,19.0, AVSC, NULL
196.0,89BF1B4BXPvAibaEXe/v5x/h23myCcvAATP35Y2J, NULL, NULL,20.0, AVSC, NULL
197.0,56996328XPvAibaEXe8FGyuwtFnKnOqpMxWSLkC/, NULL, NULL,20.0, AVSC, NULL
198.0,649B938BXPvAibaEXe9IFJLLU9DVVZoHDwmaCg4s, NULL, NULL,20.0, AVSC, NULL
199.0,DCD90AC2XPvAibaEXe9KS65t7Tb/qM1p6wX0RxXR, NULL, NULL,20.0, AVSC, NULL
200.0,B3F16D5DXPvAibaEXe/agc6/owW5CGwRRuccquwf, NULL, NULL,20.0, AVSC, NULL
201.0,DD10B95EXPvAibaEXe/PQrWCRBKWOUTASXEgaMpR, NULL, NULL,20.0, AVSC, NULL
202.0,C2218479XPvAibaEXe/agc6/owW5CH4478G8f1TP, NULL, NULL,20.0, AVSC, NULL
203.0,FD80AB73XPvAibaEXe+XQbEHiLBIRamkrkJOEq58, NULL, NULL,20.0, AVSC, NULL
204.0,FE3AC989XPvAibaEXe8VnqU11737Hl6IFmKBfB+P, NULL, NULL,20.0, AVSC, NULL
205.0,7D4060BBXPvAibaEXe8Ve7JqRML75f60sgal9POH, NULL, NULL,20.0, AVSC, NULL
206.0,3C65A25EXPvAibaEXe998fVikzcJIuk4ang3tj+3, NULL, NULL,20.0, AVSC, NULL
207.0,E5B18116XPvAibaEXe/7jtQOMcuJ+3mMd8xWafpS, NULL, NULL,20.0, AVSC, NULL
208.0,ADC5F05DXPvAibaEXe+3sZoWnetajz661V0/hMR1, NULL, NULL,20.0, AVSC, NULL
209.0,2B8BC614XPvAibaEXe/uPR0E3TEtQm7Vvb2UfkDr, NULL, NULL,20.0, AVSC, NULL
210.0,00E148C2XPvAibaEXe+YFpGAAgvteQTcTeueqms0, NULL, NULL,20.0, AVSC, NULL
211.0,487A9A3FXPvAibaEXe+n4oL3iuTqC6vV9FvUFu7N, NULL, NULL,20.0, AVSC, NULL
212.0,BD0493E1XPvAibaEXe/WTR5UGsYutA7PJ6yFCsBD, NULL, NULL,20.0, AVSC, NULL
213.0,21478CA5XPvAibaEXe87069oyWO+Ia90rjo5SvVw, NULL, NULL,21.0, AVSC, NULL
214.0,D6527C3BXPvAibaEXe9eYPx3anXXhH8it6AZlLzp, NULL, NULL,21.0, AVSC, NULL
215.0,CC6A9A36XPvAibaEXe87069oyWO+IdRQUNsRf3jJ, NULL, NULL,21.0, AVSC, NULL
216.0,84C35FAEXPvAibaEXe/BLy1WUS+NVj4ytGkizcS1, NULL, NULL,21.0, AVSC, NULL
217.0,1EDA2DA4XPvAibaEXe8lzySxhHiT0RqGwGqh/eBg, NULL, NULL,21.0, AVSC, NULL
220.0,DF522B8DXPvAibaEXe+zrGHfAUSFacLkM4T9DLZg, NULL, NULL,21.0, AVSC, NULL
221.0,58C3BAECXPvAibaEXe/jA2MATe6eKg/8OGy+CwwB, NULL, NULL,21.0, AVSC, NULL
222.0,604A61D2XPvAibaEXe+g2dQ0D263aZSBBb1uQ+ou, NULL, NULL,21.0, AVSC, NULL
223.0,4842D442XPvAibaEXe+wVOsoF63SsLCyCepkMYRu, NULL, NULL,21.0, AVSC, NULL
225.0,006E432EXPvAibaEXe8UGNMJasZG8PBqBoa4ReWL, NULL, NULL,21.0, AVSC, NULL
227.0,25E596D7XPvAibaEXe9W7fV/x7qyQKb8gpK3QObP, NULL, NULL,21.0, AVSC, NULL
229.0,28F6E5E2XPvAibaEXe8UBGVVSBKSkgHdFRn4cEDg, NULL, NULL,21.0, AVSC, NULL
230.0,7F57E0CAXPvAibaEXe9CJmVsz9P34gSFnyCRxpl4, NULL, NULL,21.0, AVSC, NULL
231.0,73EBC2A0XPvAibaEXe9A3Yjgh4iPfsTl7Hkve08O, NULL, NULL,21.0, AVSC, NULL
232.0,48685401XPvAibaEXe99yNsueYx+scOnjQSx4nXO, NULL, NULL,21.0, AVSC, NULL
234.0,2D14C10DXPvAibaEXe9XrYsEpevBo9IvzkP6Fz7n, NULL, NULL,22.0, AVSC, NULL
235.0,27DEED3DXPvAibaEXe+wVOsoF63SsFd2Mp70LIMr, NULL, NULL,22.0, AVSC, NULL
236.0,EE6BEA20XPvAibaEXe87qJpUsO6V7Q5qVfwmgf40, NULL, NULL,22.0, AVSC, NULL
237.0,85B8581AXPvAibaEXe9kJ+qYUUrp691e6albNlig, NULL, NULL,22.0, AVSC, NULL
